Data,Cidade,Casos confirmados,Óbitos
2020-09-16,Goiânia,44324,1135
2020-09-15,Goiânia,42978,1116
2020-09-14,Goiânia,41698,1098
2020-09-13,Goiânia,39797,1074
2020-09-12,Goiânia,39608,1071
2020-09-11,Goiânia,39565,1068
2020-09-10,Goiânia,38388,1057
2020-09-09,Goiânia,37439,1028
2020-09-08,Goiânia,36746,986
2020-09-07,Goiânia,36387,985
2020-09-06,Goiânia,36282,983
2020-09-05,Goiânia,36182,982
2020-09-04,Goiânia,35493,979
2020-09-03,Goiânia,34998,960
2020-09-02,Goiânia,34301,943
2020-09-01,Goiânia,33455,927
2020-08-31,Goiânia,32923,908
2020-08-30,Goiânia,32514,893
2020-08-29,Goiânia,32386,893
2020-08-28,Goiânia,32231,885
2020-08-27,Goiânia,31836,871
2020-08-26,Goiânia,31674,854
2020-08-25,Goiânia,30676,820
2020-08-24,Goiânia,30114,804
2020-08-23,Goiânia,29412,795
2020-08-22,Goiânia,28979,793
2020-08-21,Goiânia,28788,780
2020-08-20,Goiânia,28219,752
2020-08-19,Goiânia,27879,690
2020-08-18,Goiânia,27362,676
2020-08-17,Goiânia,26216,645
2020-08-16,Goiânia,25664,633
2020-08-15,Goiânia,25412,633
2020-08-14,Goiânia,25241,628
2020-08-13,Goiânia,24550,610
2020-08-12,Goiânia,23693,589
2020-08-11,Goiânia,22764,575
2020-08-10,Goiânia,21974,556
2020-08-09,Goiânia,21387,544
2020-08-08,Goiânia,21334,544
2020-08-07,Goiânia,21201,541
2020-08-06,Goiânia,20608,537
2020-08-05,Goiânia,19405,533
2020-08-04,Goiânia,18366,510
2020-08-03,Goiânia,17358,488
2020-08-02,Goiânia,17326,487
2020-08-01,Goiânia,17321,487
2020-07-31,Goiânia,17285,486
2020-07-30,Goiânia,16624,449
2020-07-29,Goiânia,15874,437
2020-07-28,Goiânia,15200,430
2020-07-27,Goiânia,14435,417
2020-07-26,Goiânia,13520,413
2020-07-25,Goiânia,13516,409
2020-07-24,Goiânia,13352,399
2020-07-23,Goiânia,12605,383
2020-07-22,Goiânia,11902,354
2020-07-21,Goiânia,11080,336
2020-07-20,Goiânia,9884,325
2020-07-19,Goiânia,9790,311
2020-07-18,Goiânia,9793,309
2020-07-17,Goiânia,9804,306
2020-07-16,Goiânia,9763,297
2020-07-15,Goiânia,9634,281
2020-07-14,Goiânia,9422,273
2020-07-13,Goiânia,9229,271
2020-07-12,Goiânia,9361,266
2020-07-11,Goiânia,9188,266
2020-07-10,Goiânia,9194,264
2020-07-09,Goiânia,9058,252
2020-07-08,Goiânia,8906,240
2020-07-07,Goiânia,8640,232
2020-07-06,Goiânia,8290,202
2020-07-05,Goiânia,7825,198
2020-07-04,Goiânia,7825,198
2020-07-03,Goiânia,7474,195
2020-07-02,Goiânia,7119,186
2020-07-01,Goiânia,7065,169
2020-06-30,Goiânia,6956,167
2020-06-29,Goiânia,6655,161
2020-06-28,Goiânia,6126,153
2020-06-27,Goiânia,6122,153
2020-06-26,Goiânia,6111,150
2020-06-25,Goiânia,5958,138
2020-06-24,Goiânia,5728,137
2020-06-23,Goiânia,5359,130
2020-06-22,Goiânia,5159,122
2020-06-21,Goiânia,4774,112
2020-06-20,Goiânia,4717,110
2020-06-19,Goiânia,4679,108
2020-06-18,Goiânia,4442,99
2020-06-17,Goiânia,4150,94
2020-06-16,Goiânia,3849,95
2020-06-15,Goiânia,3220,92
2020-06-14,Goiânia,2856,89
2020-06-13,Goiânia,2851,89
2020-06-12,Goiânia,2842,87
2020-06-11,Goiânia,2818,82
2020-06-10,Goiânia,2775,82
2020-06-09,Goiânia,2616,81
2020-06-08,Goiânia,2428,75
2020-06-07,Goiânia,2345,75
2020-06-06,Goiânia,2329,75
2020-06-05,Goiânia,2291,72
2020-06-04,Goiânia,2028,71
2020-06-03,Goiânia,1847,67
2020-06-02,Goiânia,1809,65
2020-06-01,Goiânia,1730,53
2020-05-31,Goiânia,1661,52
2020-05-30,Goiânia,1581,52
2020-05-29,Goiânia,1556,49
2020-05-28,Goiânia,1473,49
2020-05-27,Goiânia,1393,44
2020-05-26,Goiânia,1307,44
2020-05-25,Goiânia,1200,41
2020-05-24,Goiânia,1206,41
2020-05-23,Goiânia,1184,41
2020-05-22,Goiânia,1163,41
2020-05-21,Goiânia,1049,36
2020-05-20,Goiânia,1028,34
2020-05-19,Goiânia,964,30
2020-05-18,Goiânia,935,30
2020-05-17,Goiânia,921,30
2020-05-16,Goiânia,890,30
2020-05-15,Goiânia,873,30
2020-05-14,Goiânia,758,31
2020-05-13,Goiânia,665,27
2020-05-12,Goiânia,585,24
2020-05-11,Goiânia,578,23
2020-05-08,Goiânia,550,23
2020-05-07,Goiânia,547,21
2020-05-05,Goiânia,545,14
2020-05-04,Goiânia,496,12
2020-05-03,Goiânia,487,12
2020-05-02,Goiânia,467,12
2020-05-01,Goiânia,457,12
2020-04-30,Goiânia,453,12
2020-04-29,Goiânia,404,12
2020-04-28,Goiânia,392,12
2020-04-27,Goiânia,364,12
2020-04-26,Goiânia,333,11
2020-04-25,Goiânia,273,11
2020-04-24,Goiânia,267,11
2020-04-23,Goiânia,257,11
2020-04-22,Goiânia,255,10
2020-04-21,Goiânia,240,10
2020-04-20,Goiânia,230,10
2020-04-19,Goiânia,231,10
2020-04-18,Goiânia,226,10
2020-04-17,Goiânia,188,8
2020-04-16,Goiânia,182,8
2020-04-15,Goiânia,176,7
2020-04-14,Goiânia,160,7
2020-04-13,Goiânia,130,7
2020-04-12,Goiânia,126,7
2020-04-11,Goiânia,114,5
2020-04-10,Goiânia,109,5
2020-04-09,Goiânia,102,4
2020-04-08,Goiânia,85,4
2020-04-07,Goiânia,76,4
2020-04-06,Goiânia,73,4
2020-04-05,Goiânia,73,2
2020-04-04,Goiânia,65,1
2020-04-03,Goiânia,50,1
2020-04-02,Goiânia,43,0
2020-04-01,Goiânia,42,0
2020-03-31,Goiânia,39,0
2020-03-30,Goiânia,35,0
2020-03-29,Goiânia,33,0
2020-03-28,Goiânia,33,0
2020-03-27,Goiânia,26,0
2020-03-26,Goiânia,21,0
2020-03-25,Goiânia,15,0
2020-03-24,Goiânia,15,0
2020-03-23,Goiânia,12,0
2020-03-22,Goiânia,11,0
2020-03-20,Goiânia,9,0
2020-03-19,Goiânia,7,0
2020-03-18,Goiânia,5,0
2020-03-17,Goiânia,5,0
2020-03-16,Goiânia,5,0
2020-03-15,Goiânia,3,0
2020-03-14,Goiânia,3,0
2020-03-13,Goiânia,2,0
2020-03-12,Goiânia,2,0
